ProvinceEN,ZipCode,latitude,longitude
Pathum Thani,12170,14.16685714,100.8398571
Pattani,94000,6.854461538,101.2708462
Pattani,94110,6.6961,101.5882
Pattani,94120,6.724,101.09625
Pattani,94130,6.812111111,101.5105556
Pattani,94140,6.69675,101.406875
Pattani,94150,6.8313125,101.38725
Pattani,94160,6.733916667,101.30375
Pattani,94170,6.802,101.1859167
Pattani,94180,6.668285714,101.1987143
Pattani,94190,6.7566,101.4792
Pattani,94220,6.61875,101.67075
Pattani,94230,6.603666667,101.5396667
Phang-nga,82000,8.469222222,98.514
Phang-nga,82110,8.8302,98.3526
Phang-nga,82120,8.484666667,98.3045
Phang-nga,82130,8.293,98.445
Phang-nga,82140,8.225,98.332
Phang-nga,82150,9.024227273,97.87445455
Phang-nga,82160,8.1055,98.5905
Phang-nga,82170,8.7238,98.4514
Phang-nga,82180,8.5215,98.632
Phang-nga,82190,8.826333333,98.28433333
Phang-nga,83000,7.894333333,98.59033333
Phatthalung,93000,7.585666667,100.035381
Phatthalung,93110,7.7372,99.9831
Phatthalung,93120,7.327142857,100.3172857
Phatthalung,93130,7.478,100.1345
Phatthalung,93140,7.425333333,100.1663333
Phatthalung,93150,7.776333333,100.1193333
Phatthalung,93160,7.292,100.0593333
Phatthalung,93170,7.2474,100.1536
Phatthalung,93180,7.411666667,99.91866667
Phatthalung,93190,7.697333333,99.85833333
Phayao,56000,19.19061111,99.86761111
Phayao,56110,19.5371875,100.3314375
Phayao,56120,19.15258333,100.0325
Phayao,56130,19.37016667,99.79083333
Phayao,56140,19.19871429,100.3588571
Phayao,56150,19.37742857,100.1375714
Phayao,56160,18.91633333,100.3193333
Phetchabun,67000,16.41233333,101.18225
Phetchabun,67110,16.74986364,101.2475909
Phetchabun,67120,16.939,101.2376667
Phetchabun,67130,15.700625,101.1615
Phetchabun,67140,15.9882,101.1386
Phetchabun,67150,16.12383333,100.863
Phetchabun,67160,15.839125,100.993625
Phetchabun,67170,15.43871429,101.1005714
Phetchabun,67180,15.6096,100.9704
Phetchabun,67190,16.12033333,100.7156667
Phetchabun,67210,16.208,101.1155
Phetchabun,67220,16.10566667,101.023
Phetchabun,67230,15.747,100.861
Phetchabun,67240,16.3352,100.7834
Phetchabun,67250,16.59,101.134
Phetchabun,67260,16.8365,101.61575
Phetchabun,67270,16.5982,100.9738
Phetchabun,67280,16.806,101.035
Phetchaburi,76000,13.09778261,99.95447826
Phetchaburi,76100,13.0255,100.06
Phetchaburi,76110,13.18288889,99.97933333
Phetchaburi,76120,12.78488889,99.90511111
Phetchaburi,76130,12.90891667,99.8715
Phetchaburi,76140,13.2388,99.8141
Phetchaburi,76150,13.05194118,99.88605882
Phetchaburi,76160,13.132,99.58825
Phetchaburi,76170,12.88916667,99.5775
Phichit,66000,16.443,100.343
Phichit,66110,16.20583333,100.3936667
Phichit,66120,16.037375,100.429
Phichit,66130,16.0989375,100.2218125
Phichit,66140,16.467,100.1252857
Phichit,66150,16.1485,100.54275
Phichit,66160,16.5186,100.5316
Phichit,66180,16.37675,100.5525
Phichit,66190,16.31228571,100.1917143
Phichit,66210,16.01583333,100.6026667
Phichit,66220,16.591,100.1665
Phichit,66230,16.2335,100.603
Phitsanulok,65000,16.84527778,100.2546667
Phitsanulok,65110,16.59457143,100.2971429
Phitsanulok,65120,17.13372727,100.8492727
Phitsanulok,65130,16.74544444,100.455
Phitsanulok,65140,16.69288889,100.0634444
Phitsanulok,65150,17.01314286,100.1732857
Phitsanulok,65160,17.08716667,100.3371667
Phitsanulok,65170,17.3235,100.6378333
Phitsanulok,65180,17.1262,100.1202
Phitsanulok,65190,16.527,100.6648571
